Affinity Row ID,Organization Id,Name,Website,Thesis Category (2024),Owners,Status,Total Funding Amount (EUR),Core Sector
206934881,1772060,Perpay,perpay.com,Financial Infrastructure,Allison Baum Gates <allison@sempervirensvc.com>,Meeting Held,2270000.0,Fintech
168477963,294905810,Myriad.AI,myriad.company,Compliance & Security,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,1820000.0,Enterprise Software
151343095,294715628,Lettuce,lettuce.co,1099 Infrastructure,Allison Baum Gates <allison@sempervirensvc.com>,Diligence,19090000.0,Fintech
194762961,300462006,Ruby Health,goruby.com,Caregiving & Aging,Raquel Scott <raquel@sempervirensvc.com>,Meeting Held,"",Healthcare
206529806,303487861,Straia,straia.io,L&D And Upskilling,Raquel Scott <raquel@sempervirensvc.com>,Meeting,"",Enterprise Software
206352748,303586582,Hi Dr B.,hidrb.com,Speciality Telemedicine,Allison Baum Gates <allison@sempervirensvc.com>,Meeting Held,7270000.0,Healthcare
137942473,289946865,Ilant Health,ilanthealth.com,Nutrition & Weight Loss,Colin Tobias <colin@sempervirensvc.com>; Robby Peters <robby@sempervirensvc.com>,Meeting Held,5550000.0,Healthcare
206072325,297924807,combinely,combinely.ai,Business FP&A,Raquel Scott <raquel@sempervirensvc.com>,Tracking,"",Enterprise Software
195422183,287884112,Florence Education,florenceeducation.com,Sourcing And Recruitment,Raquel Scott <raquel@sempervirensvc.com>,Not Active,"",Healthcare
205709848,291238224,ModernVivo,modernvivo.com,Pharmacies & Fulfillment,Colin Tobias <colin@sempervirensvc.com>,To Pass,30000.0,Healthcare
205709555,300537967,RxSaveCard,rxsavecard.com,Pharmacies & Fulfillment,Colin Tobias <colin@sempervirensvc.com>,Meeting Held,1550000.0,Healthcare
205707115,221054929,Intellect,intellect.co,Behavioral Health,Colin Tobias <colin@sempervirensvc.com>,Meeting Held,20180000.0,Healthcare
205706632,294313706,pega6,pega6.com,Core HR,Colin Tobias <colin@sempervirensvc.com>,To Pass,"",Enterprise Software
205706447,303187336,Honest Practices,honestpractices.com,Payer Infrastructure / Tools,Colin Tobias <colin@sempervirensvc.com>,Meeting Held,"",Healthcare
198447132,282288520,Handl Health,handlhealth.com,B2B Insurtech,Allison Baum Gates <allison@sempervirensvc.com>,Network Pulse Check,2700000.0,Healthcare
194344357,283636846,Gelt,joingelt.com,Business FP&A,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Enterprise Software
135052036,284863661,aragorn.ai,aragorn.ai,Skills Inference/Employee Insights,Allison Baum Gates <allison@sempervirensvc.com>,Meeting Held,"",Enterprise Software
195348743,303354344,Pavus,pavus.ai,Procurement and Vendor Management,Raquel Scott <raquel@sempervirensvc.com>,Meeting Held,"",Enterprise Software
205623264,303507709,Novaworks,novaworks.ai,Core HR,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,"",Enterprise Software
196372654,292027769,Lilac Software,lilacsoftware.com,EHRs & Data Systems,Allison Baum Gates <allison@sempervirensvc.com>,Meeting,1820000.0,Healthcare
168236008,294379050,Clara Home Care,clarahomecare.com,Caregiving & Aging,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,"",Healthcare
183352228,299234813,Penguinai,penguinai.co,Administrative AI,Robby Peters <robby@sempervirensvc.com>,Legal Review,"",Healthcare
203746997,285274820,One Body,onebodywellness.com,Administrative AI,Allison Baum Gates <allison@sempervirensvc.com>,To Pass,"",Healthcare
204650532,303490645,Vybe,vybe.build,AI Co-Pilots,Allison Baum Gates <allison@sempervirensvc.com>,Looking for Intro,"",Enterprise Software
197139573,302639503,Circlehealth,circlehealth.co,Administrative AI,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,"",Healthcare
17226826,127864340,Bravely,workbravely.com,Core HR,Allison Baum Gates <allison@sempervirensvc.com>,To Pass,21820000.0,Enterprise Software
204370284,303477832,Paid,agentpaid.ai,B2B Payments,Allison Baum Gates <allison@sempervirensvc.com>,Looking for Intro,"",Enterprise Software
130437133,290375745,PairUp,pairupapp.com,AI Co-Pilots,Allison Baum Gates <allison@sempervirensvc.com>,To Pass,"",Enterprise Software
199820993,292525408,yareta.co,yareta.co,Skills Inference/Employee Insights,Allison Baum Gates <allison@sempervirensvc.com>,To Pass,"",Enterprise Software
201908792,303223563,Fortitude AI,,Behavioral Health,Allison Baum Gates <allison@sempervirensvc.com>,To Pass,"",Healthcare
201572603,286440182,"Keenly, Inc",keenlyco.com,Compliance & Security,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Enterprise Software
122077714,287768039,candidate.fyi,candidate.fyi,Interview Tech,Lauren Eager <lauren@sempervirensvc.com>,Not Active,1180000.0,Enterprise Software
195501430,302158177,"Baryons, Inc.",baryons.ai,AI Co-Pilots,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Enterprise Software
145866531,290877480,Batonhealth,batonhealth.com,EHRs & Data Systems,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,"",Healthcare
195825169,202547061,Hello Divorce,hellodivorce.com,AI Co-Pilots,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,4770000.0,Fintech
123608107,288963808,Boomerang,hiboomerang.com,Employee Engagement,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Enterprise Software
195526386,293412718,Pom Health,pomhealth.co,Heart Health,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,"",Healthcare
194414358,287616208,Clarity Pediatrics,claritypediatrics.com,Pediatrics,Allison Baum Gates <allison@sempervirensvc.com>,Not Active,9090000.0,Healthcare
15987864,285580862,Valence,valence.co,Employee Engagement,Colin Tobias <colin@sempervirensvc.com>,GOF II Candidates,"",Enterprise Software
202440540,281885148,Armilla AI,armilla.ai,Compliance & Security,Raquel Scott <raquel@sempervirensvc.com>,Tracking,5450000.0,Enterprise Software
196977374,293169678,ES.AI,esai.ai,Sourcing And Recruitment,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,"",Enterprise Software
198438103,287621348,Lockwell,lockwell.co,SMB Enterprise Tools,Allison Baum Gates <allison@sempervirensvc.com>,Diligence,"",Enterprise Software
36537734,223146572,Paytient,paytient.co,Benefits Administration,Robby Peters <robby@sempervirensvc.com>,Hot List,30000000.0,Enterprise Software
201756578,283505006,Mendo,mendo.cloud,L&D And Upskilling,Allison Baum Gates <allison@sempervirensvc.com>,Looking for Intro,700000.0,Enterprise Software
198331136,302929928,Besoundbreast,besoundbreast.com,Women's Health,Allison Baum Gates <allison@sempervirensvc.com>,Tracking,"",Healthcare
201639462,302861252,Approval AI,getapproval.ai,Personal Finance,Raquel Scott <raquel@sempervirensvc.com>,Tracking,"",Enterprise Software
