company_name,website,year_founded,description,problem_statement,pitch_deck_link,demo_link,Team_Score,Technology_Score,Traction_Score,Team_Justification,Technology_Justification,Traction_Justification,Team_Business Model Strength,Team_Execution Capability,Team_Market Positioning,Team_Strategic Vision,file_name
Paramean Solutions,https://www.parameansolutions.com/,2021,"Paramean Solutions is an integrated InsurTech and analytics company delivering actuarial, financial, and reinsurance solutions to value-based care organizations. We empower at-risk providers with the tools they need to succeed financially while delivering quality care.",There is a Lack of Trusted Partners that offer end-to-end financial risk products and solutions in value-based care,https://drive.google.com/drive/u/0/folders/1KwcGyIouEXnHd_S4L04yQ-IU17gMVFcz,https://drive.google.com/drive/u/0/folders/1KwcGyIouEXnHd_S4L04yQ-IU17gMVFcz,3,3,4,"The team is led by a single founder, Isaac Edrah, who has relevant domain expertise in InsurTech and analytics. However, the lack of a co-founder or broader leadership team may limit the company's ability to scale rapidly. The team consists of 8 FTEs, with a significant portion dedicated to functional departments, indicating a focus on product development and execution.","The technology is developed internally, indicating control over the product. However, there is no mention of proprietary algorithms or IP, which may limit defensibility.","The company has demonstrated strong traction with 200% growth in recurring revenue and 4 active paying customers. The sales pipeline is strong, indicating continued growth potential.","The business model is based on a percentage of revenue sold and recurring monthly revenue, which provides a stable income stream. However, the scalability of this model depends on the ability to acquire and retain a large customer base.","The company has demonstrated execution capability with 200% growth in recurring revenue over the last 6 months, indicating strong market traction.","Paramean Solutions positions itself as an integrated provider of financial risk products in value-based care, differentiating from non-integrated consulting or expensive tech solutions.","The strategic vision is focused on scalability and revenue growth, but the lack of a co-founder and broader executive network may hinder strategic planning and execution.",paramean_solutions_comprehensive_analysis.json
"The PEO App, Inc.",https://thepeoapp.com,2025,"The PEO App is an AI-powered platform that simplifies the PEO shopping process, streamlining information collection, improving accuracy, and removing bias—all through a single secure intake.","Small businesses are drowning in administrative complexity—HR, payroll, benefits, compliance. PEOs were designed to help, but the process of finding the right one is broken. It’s opaque, repetitive, and riddled with friction. SMB leaders waste hours filling out redundant intake forms, chasing down incomplete quotes, and making decisions with incomplete data. Many give up, staying with an overpriced, underperforming PEO simply because switching is too painful. That means higher costs, worse benefits, and real risk to their employees.

For PEOs, it’s no better. They spend enormous time quoting bad-fit deals or chasing leads that ghost them. Junior sales reps drown in intake emails. Close rates suffer. CAC stays high. And the best-fit prospects—the ones they should be winning—often walk away or never get through the intake process. Everyone loses. The inefficiency costs SMBs thousands per year and costs PEOs millions in missed revenue.",https://www.canva.com/design/DAGflHeD4K8/YTx0qmTghrmEdwjuK5SLdw/view?utm_content=DAGflHeD4K8&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h73ba121b75,https://www.loom.com/share/6e7e333978234a89899562ee9a9cba24,3,3,2,"The founding team is currently composed of a single full-time founder, Kasey Devine, who is supported by fractional contractors. The founder is actively seeking a technical co-founder, which is a critical gap given the technical nature of the product. The founder has demonstrated commitment and domain understanding, but the lack of a complete leadership team with proven execution ability is a concern.","The platform's AI-driven approach and patent-pending status provide some technical defensibility. However, the reliance on contracted developers and the absence of a technical co-founder are significant risks.","The company has launched pilots and has a pipeline, but no paying customers yet. The lack of revenue and reliance on pilots indicate early-stage traction with significant execution risk.","The business model is based on referral fees and SaaS subscriptions, which are scalable but currently unproven due to the lack of paying customers.","The team has launched pilots and is patent-pending, indicating some execution capability, but the lack of a full-time technical team is a risk.","The company positions itself as a streamlined, AI-powered solution for PEO shopping, differentiating through technology and process efficiency.","The strategic vision is clear in addressing a significant pain point in the PEO market, but execution risks remain high without a complete team.",the_peo_app_inc_comprehensive_analysis.json
Audria,https://audria.io,2024,"Audria is a gentle AI companion platform for people living with dementia, their family members, and caregivers. It uses familiar voices, personal memories, and daily prompts to ease loneliness and support connection. Audria also provides helpful insights, giving families and care teams extra peace of mind and practical help every day.","The Problem We’re Solving: People living with dementia often feel lonely and disconnected, which increases anxiety and speeds decline. Families and caregivers struggle to stay connected and coordinated, often relying on medication to manage distress that could be eased with more daily support. Why It Matters: Loneliness can be as harmful as a chronic disease. Better connection and gentle daily interaction help reduce unnecessary medication use, improve well-being, and lighten the burden on families and care teams. By bridging gaps in family coordination and providing consistent, comforting interaction, Audria helps people feel heard and cared for every day.",https://docs.google.com/presentation/d/1re5k5npmmtWVTAXlYZvPQyi4R7fOxQ_L/edit?usp=sharing&ouid=107940173463650829305&rtpof=true&sd=true,https://myaudria.com,4,4,3,"The founding team of Audria demonstrates strong execution ability and domain expertise. Heidi Krauth, CEO, and Ray Agostinelli, CBS, have worked together previously and share a passion for the mission. The team includes a CTO and engineers, indicating a balanced skill set for product development and scaling.","Audria's technology is defensible through its deep personalization and use of familiar voices. The technical approach is innovative, but scaling personalized interactions may present challenges.","Audria has developed a prototype and secured pilot interest, but lacks paying customers and significant revenue traction.","Audria employs a hybrid hardware and subscription model, which is scalable and provides predictable revenue streams. The model is well-suited for both individual families and care facilities.","The team has developed a prototype and secured pilot interest, demonstrating their ability to execute on their vision.","Audria positions itself uniquely by offering deeply personalized AI interactions using familiar voices and memories, differentiating from generic chatbots and robotic pets.","Audria's long-term vision includes expanding features like wearable integration and multilingual support, showing a strong understanding of market needs and strategic planning.",audria_comprehensive_analysis.json
GigHQ.ai,https://www.gighq.ai,2024,"GigHQ.ai is the job seeker's AI copilot. We fix the broken job search with a personal CRM that automates application tracking, provides smart reminders, and delivers data-driven insights. We empower candidates to take control of their careers and find their next opportunity.","The modern job search is fundamentally broken for the individual, a manual and chaotic process that has become a job in itself. Job seekers are left to manage their search with cumbersome spreadsheets while navigating a system where the existing tools are built to support the employer, not them. This results in a frustrating lack of transparency where applicants are often 'ghosted,' a practice that erodes their confidence and leaves them without the feedback needed to improve their search.

This broken system matters because its impact is both deeply personal and economically significant. For individuals, it creates immense uncertainty and stress—a recurring pain point in a world where workers now change careers 5-7 times in a lifetime. Economically, this inefficiency is staggering. It takes a new graduate, on average, six months and hundreds of hours to find an entry-level job. This contributes to massive public costs, with Federal Unemployment Insurance forecasted to grow from ~$40 billion in 2025 to ~$60 billion by 2035.",https://www.canva.com/design/DAGmzKJ_UnU/jxTe3gy1aBhnD64pfyjFDQ/view,https://app.gighq.ai,4,4,3,"The founding team of GigHQ.ai demonstrates strong execution ability and domain expertise. Hasnain Baxamoosa and Robert Johnson have a proven track record of working together successfully at AlienVault, a high-growth startup acquired by AT&T. Their complementary skills in product management, sales, marketing, and technical leadership are well-suited for building and scaling GigHQ.ai.","GigHQ.ai's technology leverages AI to automate and enhance the job search process, providing a defensible advantage. The use of proprietary algorithms and data-driven insights creates a competitive moat.","GigHQ.ai has achieved early traction with 450 users and ongoing conversations with potential B2B partners. However, the company is still in the early stages of scaling its user base and monetizing its platform.","GigHQ.ai's business model is robust, with a B2C freemium approach that builds a user base and data asset, complemented by future B2B and data monetization streams. The model is scalable and positions the company well against competitors.","The team has demonstrated the ability to execute on their vision, with a product launched in March 2024 and early traction in user acquisition.","The company positions itself uniquely as a job seeker's AI copilot, addressing a significant gap in the market by focusing on the needs of job seekers rather than employers.",GigHQ.ai has a clear long-term vision to empower job seekers and capitalize on the inefficiencies of the current job search market.,gighqai_comprehensive_analysis.json
Cherrygiving,https://cherrygiving.com/,2023,"Double sided platform for Nonprofits, donors and volunteers. For Nonprofits, we provide a CRM and opportunities with new and existing donors. For endusers, we provide tools for donating, tax tracking, and volunteering. Revenue streams include: Transactions, subscriptions, data collection and more.","Too many nonprofits rely on outdated systems that drain time, hide insights, and make giving feel impersonal. High fees cut into every donation. Manual processes slow growth. Donors are left in the dark, unsure how their gifts help or why they should give again. This leads to fewer repeat donations, less engagement, and more obstacles standing in the way of impact.",https://mail.google.com/mail/u/2/#search/pitchdeck?projector=1,https://cherrygiving.com/,3,3,1,"The founding team consists of two co-founders who have been best friends for over 10 years, indicating strong personal chemistry. However, the team is relatively small with only three engineers and lacks diversity in functional expertise. The co-founders have a shared passion for helping people, but there is limited information on their prior entrepreneurial experience or domain expertise in the nonprofit sector.","The technology is developed in-house, which is a positive sign for control and customization. However, there is limited information on technical defensibility and scalability.",The company is pre-revenue with no customers or market traction. This presents a significant risk in terms of product-market fit and execution capability.,"The business model includes multiple revenue streams such as transactions, subscriptions, and data collection. However, the scalability and competitive positioning are yet to be validated as the company is pre-revenue.","The team has not yet launched the product in the market, so execution capability remains unproven. The in-house development team is a positive sign, but scaling operations will require additional resources.","Cherrygiving aims to differentiate itself by offering a comprehensive platform for nonprofits, donors, and volunteers. The unique value proposition lies in providing a CRM for nonprofits and tools for donors and volunteers, but market differentiation needs further validation.","The strategic vision is to address inefficiencies in the nonprofit sector, but the long-term vision and market understanding need further articulation.",cherrygiving_comprehensive_analysis.json
SupportPay,https://supportpay.com/,2018,"SupportPay is pioneering Modern Family Finances, helping families split, track, and manage shared expenses, payments, schedules, and communications across households. We end money conflicts, improve relationships, and boost productivity through a secure, certified, and easy-to-use platform for consumers and as a measurable, ROI-driven employee benefit.","Families today are financially interdependent, but are forced to manage shared finances using spreadsheets, texts, Venmo, email, and arguments. It’s a time-consuming, emotionally draining process that creates stress, erodes trust, and leads to lost productivity. SupportPay solves this by automating the process, storing everything in one place, and creating certified records. It matters because financial stress is the #1 cause of family conflict, and it’s killing focus, well-being, and workplace performance.",https://supportpay.sharepoint.com/:b:/r/sites/Investor/Shared%20Documents/Fundraising/supportpay-investor-pitch-2025.pdf?csf=1&web=1&e=iazz3l,https://youtu.be/A8x8MtUctiY?feature=shared,4,4,5,"The founding team, led by Sheri Atwood, demonstrates strong execution ability and domain expertise. Sheri's experience in rebuilding SupportPay after initial setbacks shows resilience and leadership. The team is small but focused, with a clear division of roles across product support, marketing, and executive leadership.","SupportPay's technology is robust, with a focus on automation and certified records, providing a competitive moat. The use of third-party services for integrations is standard practice.","SupportPay shows strong traction with $250k MRR, high user growth, and significant enterprise contracts. The product-market fit is evident from customer feedback and utilization rates.","SupportPay has a dual B2C and B2B revenue model with subscription and utilization-based pricing, which is scalable and aligns with industry standards.","The team has successfully launched and scaled the product, securing contracts with Fortune 500 companies and achieving significant user growth.","The company positions itself uniquely in the 'Modern Family Finances' category, offering a differentiated solution with certified records and automation.","SupportPay aims to lead the category of Modern Family Finances, with a strategic focus on partnerships and market education.",supportpay_comprehensive_analysis.json
Harness Care,https://www.harness.care,2024,"We help mid-market employers cut costs and boost healthcare access with an AI-powered Concierge service. We uniquely combine AI agents with novel data access to proactively find cost savings, maximize benefits & ease care coordination with expert advocacy. We are saving patients up to 80% out of pocket costs in healthcare, while reducing 60% support burden for HR teams and brokers.","- Out-of-pocket healthcare costs for U.S. patients exceed $500B annually and are rising 3x faster than inflation.
- Up to 60% of this spend is avoidable with better benefits usage, billing error prevention, and cost-reduction programs.
- Less than 10% of employees understand their benefits, leading to denied claims, surprise bills, and delayed care.
- HR benefits teams spend 50%+ of their time resolving these issues, wasting employer dollars and lowering employee satisfaction.

Our wedge: Affordable, scalable cost recovery and navigation for mid-market employers (100–1,000 employees) on captive & ICHRA plans, a segment underserved by legacy enterprise solutions.",https://pitch.com/v/hc-sv-4vkf7v,https://harness.care/start,4,4,4,"The founding team has a strong background in healthcare, benefits, AI, and enterprise sales, with multiple successful exits. The team demonstrates complementary skills and a proven track record in scaling businesses.","The technology is differentiated by its AI-powered concierge service and novel data access, providing a competitive moat.",The company has demonstrated strong early traction with rapid customer acquisition and broker partnerships.,"Harness Care employs a SaaS subscription model with a $5 PEPM pricing structure, which is scalable and aligns with industry standards. The model includes outcome-based success fees, enhancing revenue potential.",The team has demonstrated rapid execution capability by launching their first employer client within a month and securing partnerships with brokers and TPAs.,"The company targets mid-market employers, a segment underserved by legacy solutions, with a unique value proposition of cost savings and improved healthcare access.","The leadership has a clear strategic vision to expand partnerships, increase covered lives, and position for a seed round, indicating long-term planning and growth orientation.",harnesscare_comprehensive_analysis.json
Deep Care,https://deep-care.com/,2020,"Deep-Care is a German healthtech startup founded by ex-Bosch and ex-Tesla engineers. Our AI workstation companion ‘Isa’ improves posture, movement, cognitive factors for desk workers—while building a digital twin for health insights. Scientifically validated, privacy-compliant, and used by 200+ companies in Europe, Isa is now expanding into the U.S.","We tackle the massive health and cost burden caused by sedentary desk work. Poor posture, low movement, and suboptimal environments lead to musculoskeletal, cardiovascular, and metabolic disorders—some of the most expensive and disabling conditions in modern healthcare. In the U.S. alone, musculoskeletal disorders account for one out of every six dollars spent on healthcare, as highlighted by Evernorth: https://www.evernorth.com/articles/musculoskeletal-disorder-costs-and-cares.

Our AI workstation companion ‘Isa’ addresses these root causes directly at the desk—improving posture, movement, hydration, and environmental factors like light and noise. The solution has been scientifically validated by leading European research institutions and top-tier universities, and is already used by over 200 organizations—including Mercedes-Benz, McKinsey, UBS, the German Army, and major public insurers. ‘Isa’ drives early behavior change, reduces chronic health risks, and helps lower long-term costs while improving employee well-being and productivity.",https://25441211.fs1.hubspotusercontent-eu1.net/hubfs/25441211/Pitch%20Deck.pdf,https://deep-care.com/hi-im-isa/,5,5,5,"The founding team of Deep Care is composed of highly experienced professionals with backgrounds in AI, robotics, and business from leading companies like Bosch and Tesla. Their complementary skills in AI, hardware, software, product, and business are well-aligned with the company's mission. The team has demonstrated strong execution capability by developing a scientifically validated product and securing over 200 corporate clients.",Deep Care's technology is highly defensible with granted patents in Europe and the U.S. The AI-based solution is unique in its focus on desk-based behavior change and health insights.,Deep Care has demonstrated strong product-market fit with over 200 paying customers and high retention rates. The company is profitable and has a well-filled sales pipeline.,"Deep Care operates a usage-based B2B2C model that aligns incentives by charging only when the product is actively used. This model ensures high engagement and minimizes financial risk for clients, making it scalable and attractive.",The team has successfully executed its vision by developing a patented AI-based solution and securing partnerships with major European health insurers.,"The company positions itself as a preventive health solution for desk workers, differentiating itself from traditional wellness programs by addressing root causes directly at the desk.","Deep Care has a clear strategic vision to expand into the U.S. market and continuously evolve its offering to include workplace safety, stress detection, and mental coaching.",deep_care_comprehensive_analysis.json
SmartHeritance,https://smartheritance.com,2024,"SmartHeritance is a digital legacy planning platform that helps individuals organize and securely pass on everything their loved ones will need - from financial, digital and personal assets to ongoing expenses. The reality is, most families face stress, confusion and financial loss when a loved one passes - simply because vital information is scattered, or missing. SmartHeritance solves this by automating the discovery, organization, and secure sharing of key information - ensuring nothing gets lost or unclaimed. Your legacy is fully preserved and passed on with ease, giving you peace of mind and providing a clear path for your family when it matters most.","Most families are caught off guard when a loved one passes away. Critical information—like financial accounts, insurance policies, and digital assets—is often scattered or hidden, leaving survivors overwhelmed and unprepared. This leads to lost assets, missed benefits, and emotional strain during an already difficult time. SmartHeritance helps individuals organize and securely share key information, so their families aren’t left in the dark when it matters most. A common pitfall in legacy planning is the lack of ongoing discipline—people may start organizing their affairs but rarely keep things updated. Survivors often don’t know what exists, or who to contact when someone passes away. As a result, assets go unclaimed and critical benefits are missed. SmartHeritance addresses this with automated asset discovery and periodic wellness checks, ensuring that vital information stays current and reaches the right people automatically when it matters most.",https://drive.google.com/file/d/1DVvtBSolgp7FV2J-jb9g3OiTThkDzFE7/view?usp=drive_link,https://www.loom.com/share/2da57bf9a4b84af0ab481a1fb17cc411?sid=7c6a0856-9513-4bee-ad87-a0e50dfb11b8,3,3,3,"The team is led by a single founder, Pravat Lall, who has a LinkedIn profile indicating a background in technology and entrepreneurship. However, the lack of a co-founder or a full-time in-house team raises concerns about execution capability and scalability. The current team relies heavily on external agencies and contractors, which may impact the speed and quality of product development.","The technology is promising with features like automated asset discovery and wellness checks. However, the reliance on an external agency for development raises concerns about technical defensibility and scalability.","Early traction is promising with positive feedback from free trials and a signed contract with a corporate HR benefits team. However, the customer base is still small, and scaling will require significant effort.","The business model is diversified with multiple revenue streams including direct-to-consumer subscriptions, corporate benefit programs, and B2B2C partnerships. However, the reliance on external partners for distribution could pose risks if these channels do not scale as expected.",The founder's ability to execute is somewhat limited by the lack of a co-founder and a full-time team. The use of an agency for engineering suggests potential challenges in maintaining product quality and innovation.,SmartHeritance positions itself as a comprehensive digital legacy planning solution with unique features like automated asset discovery and wellness checks. This differentiation is crucial in a crowded market.,"The strategic vision is clear, focusing on automating legacy planning to reduce emotional and logistical burdens. However, the execution plan needs more clarity, especially in terms of scaling operations and building strategic partnerships.",smartheritance_comprehensive_analysis.json
"Vivian Services, Inc.",https://vivianchoice.com/,2024,"Vivian transforms employer-sponsored health insurance with flexible, tax-advantaged funds for everyday care, true insurance for life’s surprises, and a dedicated CareConcierge to eliminate friction. Members save, roll over unused funds, and get support when they need it, creating a benefits experience that employees love and employers trust.","U.S. healthcare is expensive, rigid, and frustrating for both employees and employers. Traditional employer-sponsored plans are one-size-fits-all, opaque, and burden HR teams with administrative complexity. Employees face delayed care, high out-of-pocket costs, and little control. Vivian flips the model by giving members direct financial resources for routine care, rollover savings, and true insurance for life’s surprises, all supported by a CareConcierge who eliminates friction. This approach improves affordability, member engagement, and trust in employer benefits.",https://docsend.com/view/v6wf98q5fw57tacz,https://vimeo.com/1107147116/b8dd763094?share=copy,4,4,3,"The founding team of Vivian Services, Inc. demonstrates strong execution ability and domain expertise. Sihyun Choi and Tom Cavin bring complementary skills in product leadership and financial expertise, respectively. Their prior collaboration and alignment on the company's vision are positive indicators of their ability to lead and scale the company.","Vivian's technology, including the proprietary CareConcierge platform, offers significant differentiation and defensibility. The in-house development ensures control over the member experience.","Vivian is pre-launch but has engaged multiple employers for a 2026 launch. The company has secured early validation and feedback, indicating potential for product-market fit.","Vivian's business model is innovative, offering a flexible insurance alternative with a focus on member engagement and cost savings. The model includes PMPM fees, shared upside from unused funds, and future premium-based revenue, indicating scalability and competitive positioning.","The team has demonstrated execution capability through advanced product development and engagement with potential customers, despite being pre-launch.","Vivian positions itself as a disruptor in the employer-sponsored insurance market, offering a unique value proposition with its CareConcierge and financial empowerment features. This differentiation strategy is well-aligned with market needs.","The leadership has a clear long-term vision to transform employer-sponsored health insurance, with strategic plans for market entry and expansion.",vivianservicesinc_comprehensive_analysis.json
